product_id,region,warehouse_id,start_stock,end_stock,stock_losses,stock_replenished
PROD_001,REG_01,WH_001,417,464,3,50
PROD_001,REG_01,WH_002,124,196,3,75
PROD_001,REG_02,WH_003,82,177,4,99
PROD_001,REG_02,WH_004,498,563,0,65
PROD_001,REG_03,WH_005,487,569,9,91
PROD_001,REG_03,WH_006,293,352,5,64
PROD_001,REG_04,WH_007,65,111,7,53
PROD_001,REG_04,WH_008,131,195,8,72
PROD_001,REG_05,WH_009,471,563,5,97
PROD_001,REG_05,WH_010,193,213,6,26
PROD_001,REG_06,WH_011,431,476,4,49
PROD_001,REG_06,WH_012,395,478,7,90
PROD_001,REG_07,WH_013,270,331,2,63
PROD_001,REG_07,WH_014,368,456,3,91
PROD_001,REG_08,WH_015,177,230,10,63
PROD_001,REG_08,WH_016,131,197,0,66
PROD_001,REG_09,WH_017,332,344,10,22
PROD_001,REG_09,WH_018,426,461,4,39
PROD_001,REG_10,WH_019,384,474,4,94
PROD_001,REG_10,WH_020,256,299,8,51
PROD_002,REG_01,WH_001,446,489,5,48
PROD_002,REG_01,WH_002,366,444,4,82
PROD_002,REG_02,WH_003,340,430,7,97
PROD_002,REG_02,WH_004,500,572,4,76
PROD_002,REG_03,WH_005,272,294,3,25
PROD_002,REG_03,WH_006,307,348,8,49
PROD_002,REG_04,WH_007,229,293,3,67
PROD_002,REG_04,WH_008,236,252,9,25
PROD_002,REG_05,WH_009,271,296,10,35
PROD_002,REG_05,WH_010,53,82,6,35
PROD_003,REG_10,WH_003,82,102,3,34
