transaction_id,date,region,store_id,employee_id,product_id,units,unit_price,discount,revenue,payment,customer_id,customer_segment
TXN_202303_001001,2023-03-19,REG_06,STORE_016,EMP_006,PROD_046,5,213.08,0.12,937.55,cash,CUST_4891,New
TXN_202303_001002,2023-03-20,REG_09,STORE_026,EMP_022,PROD_024,3,42.94,0.08,118.51,card,CUST_9923,VIP
TXN_202303_001003,2023-03-06,REG_01,STORE_002,EMP_011,PROD_038,4,214.03,0.17,710.58,credit,CUST_1496,VIP
TXN_202303_001004,2023-03-09,REG_04,STORE_010,EMP_024,PROD_039,3,157.75,0.03,459.05,mobile,CUST_5805,New
TXN_202303_001005,2023-03-03,REG_02,STORE_005,EMP_002,PROD_002,4,91.11,0.01,360.8,mobile,CUST_4732,Regular
TXN_202303_001006,2023-03-24,REG_10,STORE_029,EMP_013,PROD_044,5,30.1,0.28,108.36,mobile,CUST_6897,New
TXN_202303_001007,2023-03-27,REG_10,STORE_028,EMP_028,PROD_016,5,353.53,0.12,1555.53,card,CUST_3877,Premium
TXN_202303_001008,2023-03-21,REG_01,STORE_002,EMP_018,PROD_038,1,297.23,0.1,267.51,card,CUST_4983,Premium
TXN_202303_001009,2023-03-24,REG_02,STORE_004,EMP_002,PROD_009,1,190.37,0.01,188.47,mobile,CUST_5125,Regular
TXN_202303_001010,2023-03-25,REG_09,STORE_027,EMP_022,PROD_003,5,481.89,0.29,1710.71,cash,CUST_6498,Regular
TXN_202303_001011,2023-03-05,REG_04,STORE_010,EMP_029,PROD_011,4,111.45,0.25,334.35,card,CUST_5646,New
TXN_202303_001012,2023-03-11,REG_01,STORE_003,EMP_001,PROD_034,4,10.95,0.14,37.67,cash,CUST_2009,Premium
TXN_202303_001013,2023-03-28,REG_03,STORE_007,EMP_014,PROD_045,1,184.76,0.22,144.11,mobile,CUST_3465,VIP
TXN_202303_001014,2023-03-15,REG_04,STORE_011,EMP_030,PROD_033,2,82.56,0.22,128.79,mobile,CUST_4794,VIP
TXN_202303_001015,2023-03-14,REG_04,STORE_012,EMP_024,PROD_032,2,394.4,0.07,733.58,credit,CUST_9638,VIP
TXN_202303_001016,2023-03-15,REG_03,STORE_007,EMP_014,PROD_001,4,55.21,0.07,205.38,credit,CUST_9503,New
TXN_202303_001017,2023-03-21,REG_07,STORE_021,EMP_007,PROD_030,5,147.84,0.21,583.97,credit,CUST_3770,New
TXN_202303_001018,2023-03-16,REG_02,STORE_006,EMP_002,PROD_045,5,177.92,0.09,809.54,credit,CUST_4769,New
TXN_202303_001019,2023-03-17,REG_07,STORE_019,EMP_007,PROD_020,3,275.07,0.18,676.67,mobile,CUST_4468,New
TXN_202303_001020,2023-03-11,REG_04,STORE_010,EMP_026,PROD_013,1,433.06,0.09,394.08,card,CUST_7385,Premium
