transaction_id;date;region;store_id;employee_id;product_id;units;unit_price;discount;revenue;payment;customer_id;customer_segment
TXN_202305_001981;2023-05-16;REG_07;STORE_020;EMP_007;PROD_048;4;148.19;0.13;515.7;cash;CUST_8815;Premium
TXN_202305_001982;2023-05-03;REG_07;STORE_019;EMP_007;PROD_031;1;168.9;0.19;136.81;mobile;CUST_4563;VIP
TXN_202305_001983;2023-05-03;REG_04;STORE_011;EMP_029;PROD_026;1;371.94;0.18;304.99;credit;CUST_5644;Regular
TXN_202305_001984;2023-05-02;REG_05;STORE_013;EMP_005;PROD_039;2;39.55;0.06;74.35;credit;CUST_8590;VIP
TXN_202305_001985;2023-05-13;REG_02;STORE_005;EMP_002;PROD_017;2;163.96;0.28;236.1;cash;CUST_8633;VIP
TXN_202305_001986;2023-05-24;REG_06;STORE_017;EMP_006;PROD_032;1;43.5;0.18;35.67;card;CUST_8061;New
TXN_202305_001987;2023-05-07;REG_03;STORE_008;EMP_014;PROD_024;2;56.07;0.27;81.86;card;CUST_1957;Premium
TXN_202305_001988;2023-05-06;REG_10;STORE_028;EMP_028;PROD_029;1;490.7;0.2;392.56;card;CUST_8407;Premium
TXN_202305_001989;2023-05-25;REG_09;STORE_027;EMP_022;PROD_009;2;178.94;0.29;254.09;mobile;CUST_1106;New
TXN_202305_001990;2023-05-23;REG_10;STORE_030;EMP_013;PROD_043;4;461.84;0.19;1496.36;cash;CUST_7406;Premium
TXN_202305_001991;2023-05-20;REG_06;STORE_017;EMP_006;PROD_016;5;482.6;0.29;1713.23;mobile;CUST_1946;Premium
TXN_202305_001992;2023-05-21;REG_05;STORE_015;EMP_005;PROD_009;5;95.81;0.16;402.4;card;CUST_3873;Premium
TXN_202305_001993;2023-05-14;REG_02;STORE_004;EMP_002;PROD_008;1;466.71;0.27;340.7;credit;CUST_6226;New
TXN_202305_001994;2023-05-21;REG_08;STORE_023;EMP_015;PROD_031;5;80.37;0.09;365.68;credit;CUST_9605;New
TXN_202305_001995;2023-05-23;REG_03;STORE_007;EMP_003;PROD_021;1;233.11;0.06;219.12;cash;CUST_5795;VIP
TXN_202305_001996;2023-05-04;REG_08;STORE_023;EMP_023;PROD_031;3;185.61;0.1;501.15;card;CUST_7896;New
TXN_202305_001997;2023-05-02;REG_01;STORE_001;EMP_018;PROD_025;2;195.54;0.2;312.86;card;CUST_4267;New
TXN_202305_001998;2023-05-17;REG_02;STORE_005;EMP_002;PROD_015;1;451.06;0.11;401.44;mobile;CUST_3465;Premium
TXN_202305_001999;2023-05-15;REG_09;STORE_027;EMP_009;PROD_031;5;159.59;0.16;670.28;card;CUST_6080;VIP
TXN_202305_002000;2023-05-13;REG_05;STORE_013;EMP_005;PROD_020;3;125.57;0.16;316.44;cash;CUST_7079;Regular
TXN_202305_002001;2023-05-17;REG_01;STORE_002;EMP_001;PROD_020;3;440.49;0.05;1255.4;mobile;CUST_1748;Premium
TXN_202305_002002;2023-05-16;REG_06;STORE_016;EMP_006;PROD_048;3;202.98;0.09;554.14;card;CUST_6433;New
TXN_202305_002003;2023-05-23;REG_04;STORE_012;EMP_030;PROD_010;5;429.23;0.14;1845.69;cash;CUST_6930;VIP
