product_id,category,sales_units,revenue,returns,stockouts,performance_score
PROD_001,Electronics,96,21931.66,4,0,-18.07
PROD_002,Electronics,92,19382.88,5,0,-30.62
PROD_003,Electronics,115,27755.48,7,0,-42.24
PROD_004,Electronics,95,15691.86,2,0,-4.31
PROD_005,Electronics,82,16533.37,4,0,-23.47
PROD_006,Electronics,75,16248.39,4,0,-23.75
PROD_007,Electronics,108,21626.67,5,0,-28.37
PROD_008,Electronics,60,12961.81,0,0,12.96
PROD_009,Electronics,130,27959.41,7,0,-42.04
PROD_010,Electronics,69,18800.9,0,0,18.8
PROD_011,Electronics,78,21783.84,1,0,11.78
PROD_012,Electronics,95,18563.29,4,0,-21.44
PROD_013,Clothing,78,17056.45,1,0,7.06
PROD_014,Clothing,137,27077.81,3,0,-2.92
PROD_015,Clothing,74,16365.91,2,0,-3.63
PROD_016,Clothing,73,16669.46,7,0,-53.33
PROD_017,Clothing,100,21526.11,5,0,-28.47
PROD_018,Clothing,50,15046.04,1,0,5.05
PROD_019,Clothing,78,19109.17,0,0,19.11
PROD_020,Clothing,84,18922.68,1,0,8.92
PROD_021,Clothing,75,18808.13,0,0,18.81
PROD_022,Clothing,130,25594.4,9,0,-64.41
PROD_023,Clothing,106,24429.92,1,0,14.43
PROD_024,Clothing,76,18477.29,3,0,-11.52
PROD_025,Food,81,15496.26,0,0,15.5
PROD_026,Food,100,23026.63,5,0,-26.97
PROD_027,Food,74,15243.25,0,0,15.24
PROD_028,Food,69,12228.04,0,0,12.23
PROD_029,Food,88,18690.1,3,0,-11.31
PROD_030,Food,94,17554.71,4,0,-22.45
PROD_031,Food,97,17279.35,4,0,-22.72
PROD_032,Food,68,15316.92,5,0,-34.68
PROD_033,Food,104,24013.38,4,0,-15.99
PROD_034,Food,74,17771.39,0,0,17.77
PROD_035,Food,101,22159.74,8,0,-57.84
PROD_036,Food,110,21285.97,2,0,1.29
PROD_037,Home,62,11557.73,3,0,-18.44
PROD_038,Home,106,19877.01,0,0,19.88
PROD_039,Home,89,15986.59,4,0,-24.01
PROD_040,Home,103,22389.4,5,0,-27.61
PROD_041,Home,71,13391.8,0,0,13.39
PROD_042,Home,62,11803.27,0,0,11.8
PROD_043,Home,110,26792.49,0,0,26.79
PROD_044,Home,105,23568.25,0,0,23.57
PROD_045,Home,97,22665.79,2,0,2.67
PROD_046,Home,106,21146.38,0,0,21.15
PROD_047,Home,82,20889.63,0,0,20.89
PROD_048,Home,96,18201.16,1,0,8.2
PROD_049,Books,99,19096.48,6,0,-40.9
PROD_050,Books,76,17882.76,0,0,17.88
