region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,105415.1,471,667.18,PROD_003,154,0.088
REG_02,72130.46,367,550.61,PROD_022,115,0.079
REG_03,92417.75,405,664.88,PROD_035,121,0.138
REG_04,119580.77,559,675.6,PROD_009,165,0.126
REG_05,99888.38,485,598.13,PROD_046,157,0.081
REG_06,101768.77,454,683.01,PROD_028,141,0.073
REG_07,103250.39,443,702.38,PROD_014,134,0.089
REG_08,89544.3,439,600.97,PROD_001,147,0.126
REG_09,94531.92,444,661.06,PROD_038,133,0.071
REG_10,85109.57,413,586.96,PROD_044,137,0.126
