employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,23490.43,35,671.16,1,469.81
EMP_002,REG_02,115750.88,167,693.12,4,2315.02
EMP_003,REG_03,45310.41,75,604.14,3,906.21
EMP_004,REG_04,22679.91,35,648.0,2,453.6
EMP_005,REG_05,46811.43,68,688.4,1,936.23
EMP_006,REG_06,95944.19,153,627.09,3,1918.88
EMP_007,REG_07,96515.88,150,643.44,4,1930.32
EMP_008,REG_08,25062.94,35,716.08,0,501.26
EMP_009,REG_09,28396.3,41,692.59,4,567.93
EMP_010,REG_10,12524.2,23,544.53,3,250.48
EMP_011,REG_01,26245.23,32,820.16,1,524.9
EMP_012,REG_08,20184.74,28,720.88,1,403.69
EMP_013,REG_10,31459.49,35,898.84,1,629.19
EMP_014,REG_03,58240.32,86,677.21,3,1164.81
EMP_015,REG_08,18317.2,32,572.41,1,366.34
EMP_016,REG_04,9716.27,19,511.38,2,194.33
EMP_017,REG_10,17080.82,28,610.03,2,341.62
EMP_018,REG_01,22540.6,35,644.02,1,450.81
EMP_019,REG_01,27673.51,34,813.93,2,553.47
EMP_020,REG_10,26246.96,38,690.71,5,524.94
EMP_021,REG_05,42262.83,59,716.32,3,845.26
EMP_022,REG_09,20616.26,32,644.26,5,412.33
EMP_023,REG_08,20309.78,33,615.45,1,406.2
EMP_024,REG_04,20339.92,24,847.5,2,406.8
EMP_025,REG_09,22701.54,38,597.41,4,454.03
EMP_026,REG_04,18810.14,35,537.43,1,376.2
EMP_027,REG_09,22486.19,32,702.69,1,449.72
EMP_028,REG_10,25447.67,39,652.5,2,508.95
EMP_029,REG_04,17448.64,24,727.03,0,348.97
EMP_030,REG_04,26317.58,35,751.93,0,526.35
