product_id;region;warehouse_id;start_stock;end_stock;stock_losses;stock_replenished
PROD_001;REG_01;WH_001;171;215;10;54
PROD_001;REG_01;WH_002;380;462;6;88
PROD_001;REG_02;WH_003;399;417;7;25
PROD_001;REG_02;WH_004;484;563;2;81
PROD_001;REG_03;WH_005;404;479;6;81
PROD_001;REG_03;WH_006;118;150;8;40
PROD_001;REG_04;WH_007;402;447;2;47
PROD_001;REG_04;WH_008;322;363;7;48
PROD_001;REG_05;WH_009;158;212;8;62
PROD_001;REG_05;WH_010;494;583;0;89
PROD_001;REG_06;WH_011;233;312;8;87
PROD_001;REG_06;WH_012;465;477;9;21
PROD_001;REG_07;WH_013;143;222;9;88
PROD_001;REG_07;WH_014;205;300;1;96
PROD_001;REG_08;WH_015;211;275;8;72
PROD_001;REG_08;WH_016;55;80;6;31
PROD_001;REG_09;WH_017;328;415;0;87
PROD_001;REG_09;WH_018;388;430;3;45
PROD_001;REG_10;WH_019;175;207;9;41
PROD_001;REG_10;WH_020;55;137;7;89
PROD_002;REG_01;WH_001;75;110;7;42
PROD_002;REG_01;WH_002;456;548;5;97
PROD_002;REG_02;WH_003;143;240;3;100
PROD_002;REG_02;WH_004;114;136;5;27
PROD_002;REG_03;WH_005;390;436;2;48
PROD_002;REG_03;WH_006;115;170;10;65
PROD_002;REG_04;WH_007;340;421;9;90
PROD_002;REG_04;WH_008;84;126;8;50
PROD_002;REG_05;WH_009;70;98;10;38
PROD_002;REG_05;WH_010;360;410;7;57
PROD_002;REG_06;WH_011;186;198;8;20
PROD_002;REG_06;WH_012;190;251;2;63
PROD_002;REG_07;WH_013;208;295;8;95
PROD_002;REG_07;WH_014;170;185;5;20
PROD_002;REG_08;WH_015;415;511;0;96
PROD_002;REG_08;WH_016;228;250;5;27
PROD_002;REG_09;WH_017;134;221;5;92
PROD_002;REG_09;WH_018;61;122;3;64
PROD_002;REG_10;WH_019;450;515;7;72
PROD_002;REG_10;WH_020;269;309;1;41
PROD_003;REG_01;WH_001;227;264;6;43
PROD_003;REG_01;WH_002;341;416;0;75
PROD_003;REG_02;WH_003;87;140;2;55
PROD_003;REG_02;WH_004;403;455;0;52
PROD_003;REG_03;WH_005;123;171;9;57
PROD_003;REG_03;WH_006;359;398;9;48
PROD_003;REG_04;WH_007;434;483;3;52
PROD_003;REG_04;WH_008;120;203;2;85
PROD_003;REG_05;WH_009;330;358;8;36
