refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202504_0541,TXN_202504_013532,2025-05-01,REG_09,PROD_011,1,273.95,Not as described
REF_202504_0542,TXN_202504_013825,2025-04-25,REG_03,PROD_045,2,107.54,Damaged in transit
REF_202504_0543,TXN_202504_013579,2025-04-15,REG_09,PROD_009,1,394.6,Not as described
REF_202504_0544,TXN_202504_013830,2025-04-19,REG_01,PROD_032,1,153.72,Damaged in transit
REF_202504_0545,TXN_202504_013629,2025-04-20,REG_01,PROD_006,4,962.2,Customer request
REF_202504_0546,TXN_202504_013515,2025-04-25,REG_04,PROD_010,1,408.06,Defective
REF_202504_0547,TXN_202504_013493,2025-04-10,REG_05,PROD_048,4,1720.2,Not as described
REF_202504_0548,TXN_202504_013501,2025-04-17,REG_10,PROD_043,2,305.58,Customer request
REF_202504_0549,TXN_202504_013568,2025-04-15,REG_09,PROD_001,1,199.79,Not as described
REF_202504_0550,TXN_202504_013611,2025-04-25,REG_06,PROD_018,2,348.62,Damaged in transit
REF_202504_0551,TXN_202504_013577,2025-04-29,REG_10,PROD_024,1,367.68,Wrong item
REF_202504_0552,TXN_202504_013928,2025-05-03,REG_07,PROD_030,3,276.51,Customer request
REF_202504_0553,TXN_202504_013904,2025-04-25,REG_01,PROD_048,4,1150.2,Damaged in transit
REF_202504_0554,TXN_202504_013859,2025-04-21,REG_09,PROD_033,3,795.12,Customer request
REF_202504_0555,TXN_202504_013879,2025-04-21,REG_05,PROD_020,1,317.95,Wrong item
REF_202504_0556,TXN_202504_013541,2025-04-26,REG_08,PROD_040,3,264.0,Damaged in transit
REF_202504_0557,TXN_202504_013828,2025-05-02,REG_08,PROD_042,3,760.32,Wrong item
REF_202504_0558,TXN_202504_013871,2025-04-29,REG_10,PROD_010,2,267.88,Damaged in transit
REF_202504_0559,TXN_202504_013788,2025-04-25,REG_02,PROD_002,1,374.61,Wrong item
REF_202504_0560,TXN_202504_013957,2025-04-14,REG_02,PROD_044,1,176.6,Damaged in transit
