product_id,region,warehouse_id,start_stock,end_stock,stock_losses,stock_replenished
PROD_001,REG_01,WH_001,258,278,9,29
PROD_001,REG_01,WH_002,145,161,4,20
PROD_001,REG_02,WH_003,164,213,9,58
PROD_001,REG_02,WH_004,223,269,8,54
PROD_001,REG_03,WH_005,67,87,9,29
PROD_001,REG_03,WH_006,292,328,6,42
PROD_001,REG_04,WH_007,478,535,2,59
PROD_001,REG_04,WH_008,413,493,4,84
PROD_001,REG_05,WH_009,259,275,7,23
PROD_001,REG_05,WH_010,328,351,7,30
PROD_001,REG_06,WH_011,391,462,7,78
PROD_001,REG_06,WH_012,187,226,2,41
PROD_001,REG_07,WH_013,184,274,1,91
PROD_001,REG_07,WH_014,108,196,8,96
PROD_001,REG_08,WH_015,120,160,8,48
PROD_001,REG_08,WH_016,222,283,10,71
PROD_001,REG_09,WH_017,275,364,1,90
PROD_001,REG_09,WH_018,195,269,4,78
PROD_001,REG_10,WH_019,407,475,6,74
PROD_001,REG_10,WH_020,283,312,5,34
PROD_002,REG_01,WH_001,432,517,7,92
PROD_002,REG_01,WH_002,490,555,0,65
PROD_002,REG_02,WH_003,241,310,7,76
PROD_002,REG_02,WH_004,68,110,3,45
PROD_002,REG_03,WH_005,364,389,7,32
PROD_002,REG_03,WH_006,84,102,6,24
PROD_002,REG_04,WH_007,213,235,7,29
PROD_002,REG_04,WH_008,482,499,9,26
PROD_002,REG_05,WH_009,464,557,0,93
PROD_002,REG_05,WH_010,226,306,9,89
PROD_002,REG_06,WH_011,444,497,7,60
PROD_002,REG_06,WH_012,166,246,2,82
PROD_002,REG_07,WH_013,327,413,8,94
PROD_002,REG_07,WH_014,334,388,7,61
PROD_002,REG_08,WH_015,242,261,4,23
PROD_002,REG_08,WH_016,335,430,0,95
PROD_002,REG_09,WH_017,175,251,0,76
PROD_002,REG_09,WH_018,167,231,5,69
PROD_002,REG_10,WH_019,273,338,3,68
PROD_002,REG_10,WH_020,193,273,9,89
